Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
mismo,</s>,<s>,1,1,1.0
<s>,porque,como,1,2,0.5
porque,como,esta,1,1,1.0
como,esta,muy,1,2,0.5
es,que,como,1,12,0.08333333333333333
que,como,esta,1,1,1.0
como,esta,en,1,2,0.5
esta,en,varias,1,1,1.0
en,varias,cosas,1,1,1.0
varias,cosas,</s>,1,1,1.0
cosas,</s>,<s>,1,1,1.0
</s>,<s>,dice,1,395,0.002531645569620253
<s>,dice,Lara,1,1,1.0
dice,Lara,que,1,1,1.0
Lara,que,siempre,1,1,1.0
que,siempre,estaba,1,1,1.0
siempre,estaba,ocupado,1,1,1.0
estaba,ocupado,</s>,1,1,1.0
<s>,de,todas,1,2,0.5
todas,maneras,hay,1,2,0.5
maneras,hay,que,1,1,1.0
hay,que,tener,1,1,1.0
que,tener,todo,1,1,1.0
tener,todo,listo,1,1,1.0
todo,listo,</s>,1,1,1.0
listo,</s>,<s>,1,1,1.0
</s>,<s>,lo,1,395,0.002531645569620253
<s>,lo,mejor,1,1,1.0
lo,mejor,que,1,1,1.0
mejor,que,podamos,1,1,1.0
que,podamos,</s>,1,1,1.0
podamos,</s>,<s>,1,1,1.0
<s>,que,falta,1,2,0.5
que,falta,Mily?,1,1,1.0
falta,Mily?,</s>,1,1,1.0
Mily?,</s>,<s>,1,1,1.0
</s>,<s>,nos,1,395,0.002531645569620253
<s>,nos,falta,1,1,1.0
nos,falta,algo?,1,1,1.0
falta,algo?,</s>,1,1,1.0
<s>,Pues,yo,1,13,0.07692307692307693
Pues,yo,ya,1,1,1.0
yo,ya,tengo,1,1,1.0
ya,tengo,todas,1,3,0.3333333333333333
tengo,todas,las,1,1,1.0
todas,las,vistas,1,1,1.0
las,vistas,</s>,1,1,1.0
vistas,</s>,<s>,1,1,1.0
<s>,pero,nada,1,3,0.3333333333333333
pero,nada,sirve,1,1,1.0
nada,sirve,</s>,1,1,1.0
sirve,</s>,<s>,1,1,1.0
<s>,porque,necesito,1,2,0.5
porque,necesito,el,1,1,1.0
necesito,el,back,1,1,1.0
el,back,para,1,2,0.5
back,para,poder,1,1,1.0
para,poder,darle,1,2,0.5
poder,darle,funcionalidad,1,1,1.0
darle,funcionalidad,</s>,1,1,1.0
funcionalidad,</s>,<s>,1,1,1.0
</s>,<s>,estan,1,395,0.002531645569620253
<s>,estan,las,1,1,1.0
estan,las,listas,1,1,1.0
las,listas,ahi,1,2,0.5
listas,ahi,en,1,1,1.0
ahi,en,el,1,1,1.0
en,el,pizarron,1,5,0.2
el,pizarron,afuera,1,1,1.0
pizarron,afuera,</s>,1,1,1.0
afuera,</s>,<s>,1,1,1.0
<s>,de,la,1,2,0.5
de,la,CATT,1,5,0.2
la,CATT,</s>,1,1,1.0
