Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
si,muchas,1,37,0.02702702702702703
Mily,🥹,1,20,0.05
🥹,</s>,1,1,1.0
Chicas,nos,1,6,0.16666666666666666
nos,toco,1,7,0.14285714285714285
toco,Edgardo,1,1,1.0
Edgardo,de,1,2,0.5
Yo,si,1,6,0.16666666666666666
si,JAJAJAJA,1,37,0.02702702702702703
los,que,1,7,0.14285714285714285
se,postulo,1,11,0.09090909090909091
postulo,para,1,1,1.0
para,director,1,21,0.047619047619047616
director,</s>,1,2,0.5
Si,te,1,69,0.014492753623188406
te,lo,1,9,0.1111111111111111
lo,juro,1,23,0.043478260869565216
juro,JAJAJAJA,1,1,1.0
tambien,se,1,2,0.5
se,eso,1,11,0.09090909090909091
eso,Mily,1,10,0.1
Mily,JAJAJJAA,1,20,0.05
JAJAJJAA,</s>,1,1,1.0
mi,Lara,1,14,0.07142857142857142
Lara,y,1,2,0.5
y,Marifer,1,6,0.16666666666666666
Marifer,me,1,1,1.0
me,dijeron,1,24,0.041666666666666664
que,a,1,96,0.010416666666666666
a,ellas,1,24,0.041666666666666664
ellas,nunca,1,1,1.0
nunca,las,1,2,0.5
las,reviso,1,12,0.08333333333333333
reviso,</s>,1,1,1.0
y,es,1,6,0.16666666666666666
es,su,1,23,0.043478260869565216
su,director,1,3,0.3333333333333333
director,de,1,2,0.5
Entonces,me,1,4,0.25
me,imagino,1,24,0.041666666666666664
imagino,que,1,1,1.0
que,con,1,96,0.010416666666666666
con,nosotras,1,13,0.07692307692307693
nosotras,puede,1,2,0.5
ser,casi,1,3,0.3333333333333333
casi,lo,1,1,1.0
lo,mismo,1,23,0.043478260869565216
mismo,</s>,1,1,1.0
porque,como,1,6,0.16666666666666666
que,como,1,96,0.010416666666666666
esta,en,1,9,0.1111111111111111
en,varias,1,28,0.03571428571428571
varias,cosas,1,1,1.0
cosas,</s>,1,1,1.0
<s>,dice,1,396,0.0025252525252525255
dice,Lara,1,3,0.3333333333333333
Lara,que,1,2,0.5
que,siempre,1,96,0.010416666666666666
siempre,estaba,1,1,1.0
estaba,ocupado,1,3,0.3333333333333333
maneras,hay,1,2,0.5
hay,que,1,4,0.25
que,tener,1,96,0.010416666666666666
tener,todo,1,1,1.0
todo,listo,1,5,0.2
listo,</s>,1,1,1.0
<s>,lo,1,396,0.0025252525252525255
lo,mejor,1,23,0.043478260869565216
mejor,que,1,4,0.25
que,podamos,1,96,0.010416666666666666
podamos,</s>,1,1,1.0
que,falta,1,96,0.010416666666666666
falta,Mily?,1,5,0.2
Mily?,</s>,1,1,1.0
<s>,nos,1,396,0.0025252525252525255
nos,falta,1,7,0.14285714285714285
falta,algo?,1,5,0.2
Pues,yo,1,13,0.07692307692307693
yo,ya,1,9,0.1111111111111111
tengo,todas,1,7,0.14285714285714285
todas,las,1,3,0.3333333333333333
las,vistas,1,12,0.08333333333333333
vistas,</s>,1,1,1.0
pero,nada,1,4,0.25
nada,sirve,1,7,0.14285714285714285
sirve,</s>,1,1,1.0
porque,necesito,1,6,0.16666666666666666
necesito,el,1,2,0.5
back,para,1,2,0.5
poder,darle,1,3,0.3333333333333333
darle,funcionalidad,1,1,1.0
funcionalidad,</s>,1,1,1.0
<s>,estan,1,396,0.0025252525252525255
estan,las,1,2,0.5
listas,ahi,1,2,0.5
ahi,en,1,1,1.0
el,pizarron,1,27,0.037037037037037035
pizarron,afuera,1,1,1.0
afuera,</s>,1,2,0.5
la,CATT,1,53,0.018867924528301886
CATT,</s>,1,1,1.0
<s>,Mandaron,1,396,0.0025252525252525255
Mandaron,las,1,1,1.0
las,fotos,1,12,0.08333333333333333
fotos,al,1,1,1.0
al,grupo,1,10,0.1
grupo,de,1,2,0.5
<s>,Donde,1,396,0.0025252525252525255
Donde,</s>,1,1,1.0
<s>,esta,1,396,0.0025252525252525255
esta,media,1,9,0.1111111111111111
media,escuela,1,1,1.0
escuela,JAJAJA,1,6,0.16666666666666666
Si,estan,1,69,0.014492753623188406
estan,en,1,2,0.5
escuela,pueden,1,6,0.16666666666666666
pueden,confirmar,1,2,0.5
confirmar,pofavo,1,1,1.0
Ah,pipi,1,4,0.25
pipi,</s>,1,1,1.0
pero,en,1,4,0.25
en,ese,1,28,0.03571428571428571
ese,grupo,1,1,1.0
grupo,mandaron,1,2,0.5
foto,de,1,4,0.25
de,las,1,43,0.023255813953488372
listas,</s>,1,2,0.5
<s>,dejen,1,396,0.0025252525252525255
dejen,les,1,1,1.0
les,reenvio,1,5,0.2
reenvio,la,1,1,1.0
la,imagen,1,53,0.018867924528301886
imagen,</s>,1,1,1.0
y,tal,1,6,0.16666666666666666
vez,la,1,5,0.2
la,catt,1,53,0.018867924528301886
catt,ya,1,1,1.0
no,tarda,1,44,0.022727272727272728
tarda,en,1,1,1.0
en,subirlas,1,28,0.03571428571428571
subirlas,</s>,1,1,1.0
<s>,JAJAJAJA,1,396,0.0025252525252525255
tambien,por,1,2,0.5
por,eso,1,7,0.14285714285714285
eso,me,1,10,0.1
me,dije,1,24,0.041666666666666664
dije,que,1,1,1.0
es,esto,1,23,0.043478260869565216
esto,JAJAJJA,1,1,1.0
JAJAJJA,</s>,1,1,1.0
vi,AJAJAJA,1,4,0.25
AJAJAJA,</s>,1,1,1.0
<s>,Siento,1,396,0.0025252525252525255
Siento,que,1,1,1.0
que,hasta,1,96,0.010416666666666666
eso,puede,1,10,0.1
puede,que,1,7,0.14285714285714285
no,estuviera,1,44,0.022727272727272728
estuviera,tan,1,2,0.5
tan,malo,1,1,1.0
malo,jajaja,1,1,1.0
que,tal,1,96,0.010416666666666666
tal,esta,1,3,0.3333333333333333
esta,este,1,9,0.1111111111111111
este,profe,1,2,0.5
profe,JAJAJAA,1,3,0.3333333333333333
JAJAJAA,</s>,1,1,1.0
Si,puede,1,69,0.014492753623188406
ser,Citlalli,1,3,0.3333333333333333
chicas,oigan,1,3,0.3333333333333333
oigan,que,1,1,1.0
que,dia,1,96,0.010416666666666666
dia,podriamos,1,1,1.0
podriamos,hacer,1,1,1.0
hacer,una,1,2,0.5
una,llamada,1,5,0.2
llamada,para,1,1,1.0
poder,explicarnos,1,3,0.3333333333333333
explicarnos,lo,1,1,1.0
que,llevamos,1,96,0.010416666666666666
llevamos,y,1,1,1.0
y,lo,1,6,0.16666666666666666
que,falta.,1,96,0.010416666666666666
falta.,</s>,1,1,1.0
<s>,Tambien,1,396,0.0025252525252525255
Tambien,para,1,1,1.0
para,ir,1,21,0.047619047619047616
